Space,Ceiling_Height,Label
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.1,3
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,0
Bathroom,2.42,1
Bathroom,2.42,1
Bathroom,2.42,1
Bathroom,2.42,1
Bathroom,2.42,1
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,2
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Bathroom,2.42,3
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
Storage,1.48,0
